Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase cgid gene	FlyBase cgid transcript	FlyBase cgid protein
FBgn0033089	FBtr0086144	FBpp0085477	CG17266	CG17266-RA	CG17266-PA
FBgn0033092	FBtr0086120	FBpp0085454	CG9422	CG9422-RA	CG9422-PA
FBgn0033092	FBtr0086121	FBpp0085455	CG9422	CG9422-RC	CG9422-PC
FBgn0050445	FBtr0086143	FBpp0085476	CG30445	CG30445-RA	CG30445-PA
FBgn0033090	FBtr0086122	FBpp0085456	CG15909	CG15909-RA	CG15909-PA
FBgn0050446	FBtr0086142	FBpp0085475	CG30446	CG30446-RA	CG30446-PA
FBgn0033093	FBtr0086123	FBpp0085457	CG3270	CG3270-RA	CG3270-PA
FBgn0033094	FBtr0086141	FBpp0085474	CG3403	CG3403-RA	CG3403-PA
FBgn0014009	FBtr0086124	FBpp0085458	CG3269	CG3269-RA	CG3269-PA
FBgn0033095	FBtr0086140	FBpp0085473	CG3409	CG3409-RA	CG3409-PA
FBgn0033096	FBtr0086139	FBpp0085472	CG9428	CG9428-RA	CG9428-PA
FBgn0033097	FBtr0086138	FBpp0085471	CG9430	CG9430-RA	CG9430-PA
FBgn0010482	FBtr0110900	FBpp0110200	CG9432	CG9432-RD	CG9432-PD
FBgn0010482	FBtr0086137	FBpp0085470	CG9432	CG9432-RB	CG9432-PB
FBgn0010482	FBtr0086136	FBpp0085469	CG9432	CG9432-RA	CG9432-PA
FBgn0010482	FBtr0110901	FBpp0110201	CG9432	CG9432-RE	CG9432-PE
FBgn0028579	FBtr0086125	FBpp0085459	CG3268	CG3268-RA	CG3268-PA
FBgn0042083	FBtr0086126	FBpp0085460	CG3267	CG3267-RA	CG3267-PA
FBgn0027066	FBtr0086128	FBpp0085462	CG3265	CG3265-RC	CG3265-PC
FBgn0027066	FBtr0086131	FBpp0089088	CG3265	CG3265-RE	CG3265-PE
FBgn0027066	FBtr0086127	FBpp0085461	CG3265	CG3265-RB	CG3265-PB
FBgn0027066	FBtr0086129	FBpp0085463	CG3265	CG3265-RD	CG3265-PD
FBgn0027066	FBtr0086130	FBpp0085464	CG3265	CG3265-RA	CG3265-PA
FBgn0033100	FBtr0086135	FBpp0085468	CG3420	CG3420-RA	CG3420-PA
FBgn0033101	FBtr0086134	FBpp0085467	CG9436	CG9436-RA	CG9436-PA
FBgn0085421	FBtr0112636	FBpp0111548	CG34392	CG34392-RD	CG34392-PD
FBgn0085421	FBtr0112635	FBpp0111547	CG34392	CG34392-RC	CG34392-PC
FBgn0000473	FBtr0086133	FBpp0085466	CG9438	CG9438-RA	CG9438-PA
FBgn0014028	FBtr0086156	FBpp0085489	CG3283	CG3283-RA	CG3283-PA
FBgn0033104	FBtr0086212	FBpp0085530	CG15237	CG15237-RA	CG15237-PA
FBgn0022224	FBtr0086211	FBpp0085529	CG3450	CG3450-RA	CG3450-PA
FBgn0028954	FBtr0086157	FBpp0085490	CG3287	CG3287-RB	CG3287-PB
FBgn0028954	FBtr0086158	FBpp0085491	CG3287	CG3287-RC	CG3287-PC
FBgn0033107	FBtr0086159	FBpp0085492	CG18584	CG18584-RA	CG18584-PA
FBgn0033108	FBtr0086160	FBpp0085493	CG15236	CG15236-RB	CG15236-PB
FBgn0033108	FBtr0086161	FBpp0085494	CG15236	CG15236-RA	CG15236-PA
FBgn0085244	FBtr0112408	FBpp0111323	CG34215	CG34215-RA	CG34215-PA
FBgn0040674	FBtr0086210	FBpp0085528	CG9445	CG9445-RA	CG9445-PA
FBgn0033109	FBtr0086208	FBpp0085527	CG9446	CG9446-RB	CG9446-PB
FBgn0033109	FBtr0086209	FBpp0089194	CG9446	CG9446-RC	CG9446-PC
FBgn0033109	FBtr0086207	FBpp0085526	CG9446	CG9446-RA	CG9446-PA
FBgn0033110	FBtr0086206	FBpp0085525	CG9447	CG9447-RA	CG9447-PA
FBgn0028985	FBtr0086205	FBpp0089206	CG9453	CG9453-RK	CG9453-PK
FBgn0028985	FBtr0086204	FBpp0089208	CG9453	CG9453-RJ	CG9453-PJ
FBgn0028985	FBtr0086197	FBpp0085524	CG9453	CG9453-RA	CG9453-PA
FBgn0028985	FBtr0086195	FBpp0085522	CG9453	CG9453-RC	CG9453-PC
FBgn0028985	FBtr0086201	FBpp0089192	CG9453	CG9453-RG	CG9453-PG
FBgn0028985	FBtr0086196	FBpp0085523	CG9453	CG9453-RB	CG9453-PB
FBgn0028985	FBtr0086198	FBpp0089189	CG9453	CG9453-RD	CG9453-PD
FBgn0028985	FBtr0086202	FBpp0089193	CG9453	CG9453-RH	CG9453-PH
FBgn0028985	FBtr0086199	FBpp0089190	CG9453	CG9453-RE	CG9453-PE
FBgn0028985	FBtr0086200	FBpp0089191	CG9453	CG9453-RF	CG9453-PF
FBgn0028985	FBtr0086203	FBpp0089207	CG9453	CG9453-RI	CG9453-PI
FBgn0033112	FBtr0086194	FBpp0085521	CG9454	CG9454-RA	CG9454-PA
FBgn0033113	FBtr0086162	FBpp0085495	CG9455	CG9455-RA	CG9455-PA
FBgn0028988	FBtr0086163	FBpp0085496	CG9456	CG9456-RA	CG9456-PA
FBgn0033115	FBtr0086164	FBpp0085497	CG9460	CG9460-RA	CG9460-PA
FBgn0050158	FBtr0086165	FBpp0085498	CG30158	CG30158-RA	CG30158-PA
FBgn0033117	FBtr0086166	FBpp0085499	CG3358	CG3358-RA	CG3358-PA
FBgn0033117	FBtr0114532	FBpp0113024	CG3358	CG3358-RC	CG3358-PC
FBgn0053558	FBtr0086193	FBpp0099501	CG33558	CG33558-RA	CG33558-PA
FBgn0053558	FBtr0113470	FBpp0112381	CG33558	CG33558-RB	CG33558-PB
FBgn0066293	FBtr0086192	FBpp0085519	CG33351	CG33351-RA	CG33351-PA
FBgn0066292	FBtr0086191	FBpp0085518	CG33350	CG33350-RA	CG33350-PA
FBgn0053348	FBtr0086168	FBpp0089406	CG33348	CG33348-RA	CG33348-PA
FBgn0053349	FBtr0086169	FBpp0085501	CG33349	CG33349-RA	CG33349-PA
FBgn0033121	FBtr0086185	FBpp0085516	CG3567	CG3567-RA	CG3567-PA
FBgn0050157	FBtr0086186	FBpp0085517	CG30157	CG30157-RA	CG30157-PA
FBgn0022960	FBtr0086183	FBpp0089175	CG3572	CG3572-RB	CG3572-PB
FBgn0022960	FBtr0086182	FBpp0085514	CG3572	CG3572-RC	CG3572-PC
FBgn0050156	FBtr0086184	FBpp0085515	CG30156	CG30156-RA	CG30156-PA
FBgn0033122	FBtr0086170	FBpp0085502	CG17002	CG17002-RB	CG17002-PB
FBgn0029508	FBtr0086172	FBpp0085504	CG18817	CG18817-RB	CG18817-PB
FBgn0029508	FBtr0086171	FBpp0085503	CG18817	CG18817-RA	CG18817-PA
FBgn0029508	FBtr0086173	FBpp0085505	CG18817	CG18817-RC	CG18817-PC
FBgn0050159	FBtr0089761	FBpp0088702	CG30159	CG30159-RA	CG30159-PA
FBgn0050159	FBtr0089760	FBpp0088701	CG30159	CG30159-RB	CG30159-PB
FBgn0042086	FBtr0086177	FBpp0085509	CG18816	CG18816-RB	CG18816-PB
FBgn0042086	FBtr0086176	FBpp0085508	CG18816	CG18816-RA	CG18816-PA
FBgn0050160	FBtr0086178	FBpp0085510	CG30160	CG30160-RA	CG30160-PA
FBgn0033124	FBtr0086179	FBpp0085511	CG12847	CG12847-RA	CG12847-PA
FBgn0029507	FBtr0086181	FBpp0085513	CG12846	CG12846-RA	CG12846-PA
FBgn0029506	FBtr0086180	FBpp0085512	CG10106	CG10106-RA	CG10106-PA
FBgn0033127	FBtr0089023	FBpp0088094	CG12845	CG12845-RA	CG12845-PA
FBgn0033128	FBtr0089024	FBpp0088095	CG12142	CG12142-RA	CG12142-PA
FBgn0033129	FBtr0089027	FBpp0088098	CG12844	CG12844-RC	CG12844-PC
FBgn0033129	FBtr0089026	FBpp0088097	CG12844	CG12844-RB	CG12844-PB
FBgn0033129	FBtr0089025	FBpp0088096	CG12844	CG12844-RA	CG12844-PA
FBgn0033130	FBtr0089028	FBpp0088099	CG12843	CG12843-RA	CG12843-PA
FBgn0053914	FBtr0091918	FBpp0091158	CG33914	CG33914-RA	CG33914-PA
FBgn0033131	FBtr0089029	FBpp0088100	CG12842	CG12842-RA	CG12842-PA
FBgn0033132	FBtr0089030	FBpp0088101	CG12143	CG12143-RA	CG12143-PA
FBgn0033133	FBtr0089031	FBpp0088102	CG12841	CG12841-RA	CG12841-PA
FBgn0033134	FBtr0089032	FBpp0088103	CG12840	CG12840-RA	CG12840-PA
FBgn0016032	FBtr0089033	FBpp0088104	CG2374	CG2374-RA	CG2374-PA
FBgn0033135	FBtr0089034	FBpp0088105	CG12839	CG12839-RA	CG12839-PA
FBgn0033136	FBtr0089035	FBpp0088106	CG12838	CG12838-RA	CG12838-PA
FBgn0033137	FBtr0089062	FBpp0088131	CG4471	CG4471-RA	CG4471-PA
FBgn0027558	FBtr0089061	FBpp0088130	CG4445	CG4445-RA	CG4445-PA
FBgn0033138	FBtr0089060	FBpp0088129	CG12832	CG12832-RA	CG12832-PA
FBgn0033139	FBtr0089036	FBpp0088107	CG12837	CG12837-RA	CG12837-PA
FBgn0033140	FBtr0089037	FBpp0088108	CG12836	CG12836-RA	CG12836-PA
FBgn0033141	FBtr0089057	FBpp0088128	CG12831	CG12831-RA	CG12831-PA
FBgn0028642	FBtr0089039	FBpp0088110	CG12833	CG12833-RA	CG12833-PA
FBgn0028642	FBtr0089038	FBpp0088109	CG12833	CG12833-RB	CG12833-PB
