orf	E0	E3	L	P	M	F	pvalue	Diffexpr
CG4971-A	0.148471470159753	0.150692996248244	0.171212303580485	0.176430441244083	0.184774889999768	0.168417898767667	0.00260914575965684	FALSE
CG4972-A	0.197105224562892	0.179949709650887	0.1755677802031	0.165525110081078	0.121497714975973	0.16035446052607	2.46079996733419e-08	TRUE
CG4973-A	0.24226650742647	0.21599286164419	0.144096006864289	0.129332449509589	0.1147189571794	0.153593217376062	3.53293756185442e-13	TRUE
CG4974-A	0.140950375075541	0.166225936254951	0.154082903748762	0.17372026033423	0.177257960927966	0.18776256365855	2.52428790342371e-12	TRUE
CG4975-A	0.162151195799624	0.162921814848135	0.170521241095713	0.166101568999764	0.169837544183933	0.168466635072831	0.944512493318753	FALSE
CG4976-A	0.211422312031143	0.187450057589163	0.127722397122581	0.147281468163926	0.145871771129386	0.180251993963802	3.27856823403495e-16	TRUE
CG4977-A	0.152624309810928	0.173575441175453	0.161205388686893	0.16924631192803	0.187665386399618	0.155683161999077	2.18503793618438e-12	TRUE
CG4978-A	0.248294476156615	0.28448276758544	0.134262601789908	0.111280272232174	0.083733067061798	0.137946815174065	2.41674644260757e-17	TRUE
CG4979-A	0.13959193132188	0.145411704874573	0.152211277252964	0.174124971514256	0.223426026240144	0.165234088796185	0.000136026591830967	FALSE
CG4980-A	0.224814536580953	0.224515829460413	0.162350294319961	0.142316312262287	0.115060947341338	0.130942080035048	8.99055757534065e-07	TRUE
CG4982-A	0.131062510097521	0.13144319779306	0.309978358347526	0.139713533514762	0.146962784008035	0.140839616239096	0.0152913886483784	FALSE
CG4983-A	0.116348753973643	0.126598576997083	0.124640028267504	0.174144645147076	0.289613296091371	0.168654699523324	0.00101136126007866	FALSE
CG4984-A	0.14624353274868	0.148927601523772	0.203612273986988	0.151596298898159	0.170503429115532	0.179116863726868	1.12250496732931e-07	TRUE
CG4986-A	0.0649975625713663	0.0749693583129865	0.0742444189324924	0.0810963432575095	0.634396239629293	0.0702960772963527	5.34410000430467e-05	FALSE
CG4988-A	0.146709906738135	0.136304408932276	0.177398626420431	0.16059727778809	0.222831177284363	0.156158602836705	0.000919605271568627	FALSE
